country,Period,maxTemp,minTemp,temp,WindChill,HeatIndex,Precipitation,Snow,SnowDepth,WindSpeed,WindGust,Visibility,CloudCover,relHumidity
venezuela,05/24/2020 00:00:00,31.6,22.5,26.5,,34.1,0,,,18.4,,10,23.1,69.02
venezuela,05/28/2020 00:00:00,31,21.1,25.6,,35.5,0,,,13,,10,26.2,73.98
venezuela,06/01/2020 00:00:00,31,20.1,25.4,,36.4,0,,,13,,10,17.7,69.69
venezuela,06/05/2020 00:00:00,30.5,22,25.9,,33,0,,,8.4,,10,24.6,72.49
venezuela,06/09/2020 00:00:00,29.5,19.1,25,,33.6,0,,,9.4,,10,29.6,77.31
venezuela,06/13/2020 00:00:00,31,21.1,25.4,,37.7,0,,,20.5,,10,21.2,77.8
venezuela,06/17/2020 00:00:00,31,20.3,25,,39.1,0,,,16.6,,10,22.9,78.54
venezuela,06/21/2020 00:00:00,31,22,25.9,,37.7,0,,,13,,9.8,27.2,75.56
venezuela,06/25/2020 00:00:00,39,21.1,26.9,,45.7,0,,,14.8,,9.9,48.8,79.67
venezuela,06/29/2020 00:00:00,32,21.1,25.9,,39.2,0,,,13,,9.9,18.7,78.72
venezuela,07/03/2020 00:00:00,29.9,20.1,25.2,,33,0,,,16.6,,10,17.9,76.47
venezuela,07/07/2020 00:00:00,31,21.9,25.2,,36.5,0,,,16.6,,9.9,23.4,75.54
venezuela,07/11/2020 00:00:00,30.4,21.1,25.5,,34.1,0,,,9.4,,10,20.6,77.23
venezuela,07/15/2020 00:00:00,31,21.4,25.5,,37.7,0,,,18.4,,9.9,35.4,77.26
venezuela,07/19/2020 00:00:00,32,21.1,25.3,,36.8,0,,,13,,10,23.8,78.14
venezuela,07/23/2020 00:00:00,32,21.3,25,,37.9,0,,,13,,9.9,31.7,80.13
venezuela,07/27/2020 00:00:00,32,21.3,25.8,,39.2,0,,,8.4,,10,32.2,89.63
venezuela,07/31/2020 00:00:00,30.8,20.1,25.8,,38.7,0,,,9.4,,10,21,82.22
venezuela,08/04/2020 00:00:00,31,20.8,25.2,,36.5,0,,,13,,10,28.2,80.62
venezuela,08/08/2020 00:00:00,31,20.1,25.5,,37.7,0,,,9.4,,10,28,87.87
venezuela,08/12/2020 00:00:00,32,21.9,25.8,,44.1,0,,,11.2,,10,25.3,83.1
venezuela,08/16/2020 00:00:00,33,21.1,26.2,,39.2,0,,,13,,10,40.8,78.12
venezuela,08/20/2020 00:00:00,33,21.8,26.3,,38.1,0,,,48.8,,9.9,29.6,79.01
venezuela,08/24/2020 00:00:00,31,20.1,25.8,,39.4,0,,,9.4,,10,23,80.54
venezuela,08/28/2020 00:00:00,30.9,20.2,25.3,,36.2,0,,,9.4,,9.9,28.4,73.03
venezuela,09/01/2020 00:00:00,30.9,21.1,25.2,,36.2,0,,,11.2,,9.9,27.1,80.07
venezuela,09/05/2020 00:00:00,33.1,21.8,25.9,,40.7,0,,,13,,10,21.5,79.96
venezuela,09/09/2020 00:00:00,32,22.3,26.2,,44.1,0,,,13,,10,31.8,79.96
venezuela,09/13/2020 00:00:00,32,23,27.3,,42.4,0,,,18.4,,10,30.1,80.7
venezuela,09/17/2020 00:00:00,33,22.1,26.4,,39.2,0,,,11.2,,10,21.9,73.18
venezuela,09/21/2020 00:00:00,35,19.1,27.8,,43.3,0,,,13,,10,23.3,76.06
venezuela,09/25/2020 00:00:00,32.4,21.3,25.9,,35.5,0,,,29.9,,10,18.7,73.06
venezuela,09/29/2020 00:00:00,30.4,19.1,25.9,,36.2,0,,,11.2,,9.9,37.9,78.41
venezuela,10/03/2020 00:00:00,33,21.8,26.3,,42.1,0,,,16.6,,9.8,34.1,73.58
venezuela,10/07/2020 00:00:00,31,21.4,26,,42.4,0,,,33.3,,10,26.2,77.31
venezuela,10/11/2020 00:00:00,34,19.1,26.2,,42,0,,,11.2,,9.9,24.4,72.83
venezuela,10/15/2020 00:00:00,33,19.1,26.3,,40.6,0,,,13,,10,22.6,77.59
venezuela,10/19/2020 00:00:00,32,22,26.8,,40.6,0,,,16.6,,9.9,28.3,68.23
venezuela,10/23/2020 00:00:00,33,22.9,27,,38.1,0,,,20.5,,9.9,34.8,68.34
venezuela,10/27/2020 00:00:00,30.4,20.1,25.1,,34.4,0,,,12.3,,10,23.4,79.87
venezuela,10/31/2020 00:00:00,29.8,20.1,25.3,,32.7,0,,,13.1,,9.9,26.2,79.08
venezuela,11/04/2020 00:00:00,31,21.1,25.4,,39.1,0,,,14.8,,10,27.6,80.5
venezuela,11/08/2020 00:00:00,32,21.1,25.7,,39.2,0,,,13,,10,28,78.89
venezuela,11/12/2020 00:00:00,31,20.1,25.4,,37.7,0,,,16.7,,9.9,31.9,79.21
venezuela,11/16/2020 00:00:00,32,19.1,25.4,,39.2,0,,,16.6,,9.9,38.1,80.19
venezuela,11/20/2020 00:00:00,31,21.1,26,,36.2,0,,,14.4,,10,29.2,78.2
venezuela,11/24/2020 00:00:00,32,21.1,24.8,,39.1,0,,,12.3,,9.9,29.3,82.26
venezuela,11/28/2020 00:00:00,30,20.1,25.2,,37.4,0,,,120.6,,9.8,41.1,79.96
venezuela,12/02/2020 00:00:00,31,18.1,24.6,,40.6,0,,,16.6,,10,27.6,76.26
venezuela,12/06/2020 00:00:00,32,20.8,24.9,,39.2,0,,,12.6,,10,26.3,76.09
venezuela,12/10/2020 00:00:00,29.4,18.1,24,,32.3,0,,,13.9,,10,20.3,72.18
venezuela,12/14/2020 00:00:00,29,18.1,24.2,,32,0,,,14.1,,10,16.6,75.95
venezuela,12/18/2020 00:00:00,31,20.8,26.7,,37.7,0,,,16.6,,10,39.6,77.44
venezuela,12/22/2020 00:00:00,32,24,27.3,,40.6,0,,,13,,10,39.9,75.23
venezuela,12/26/2020 00:00:00,31,23,26.6,,37.7,0,,,13,,10,42.5,81.87
venezuela,12/30/2020 00:00:00,30,22,25.8,,37.3,0,,,27.7,,9.8,72.7,75.27
germany,01/01/2020 00:00:00,7,-3.1,2.9,-6.3,,8.81,,,33.1,,20.8,5.3,86.11
germany,01/05/2020 00:00:00,8.3,-1.2,3.8,-4.7,,0.54,,,22.5,,26.2,3.5,86.49
germany,01/09/2020 00:00:00,11.2,1.2,6.5,-2.6,,8.09,,,29.9,,30.5,13,86.12
germany,01/13/2020 00:00:00,13,2.3,7.6,-1.3,,0.06,,,22.5,,42,9.6,73.57
germany,01/17/2020 00:00:00,9,-0.4,4,-2.7,,0.16,,,22.3,,25,7.8,84.87
germany,01/21/2020 00:00:00,6.1,-2.5,2.5,-4.8,,0.05,,,21.3,,22.1,7.4,85.63
germany,01/25/2020 00:00:00,8.9,-1.6,2.8,-5.6,,10.66,,,30.2,,13.2,,91.61
germany,01/29/2020 00:00:00,12.5,2.6,7.7,-2.9,,11.85,,,32.4,,36.6,,80.22
germany,02/02/2020 00:00:00,9.5,2.1,5.8,-2.3,,10.77,,,29.9,,29.7,13,83.82
germany,02/06/2020 00:00:00,12.8,1.2,6.1,-2,,0.27,,,35.1,,28,10.4,78.13
germany,02/10/2020 00:00:00,13.8,1.5,5.2,-2.9,,14.49,,,39.2,,38.8,7.1,72.32
germany,02/14/2020 00:00:00,15.7,1.5,7.7,-1.3,,1.88,,,39.3,,32.6,6.5,74.41
germany,02/18/2020 00:00:00,8.1,1.8,5.8,-1.6,,11.61,,,36.5,,35.2,13,76.95
germany,02/22/2020 00:00:00,12.2,3.7,7.1,-1.4,,25.23,,,37.8,,35.1,13,75.69
germany,02/26/2020 00:00:00,11.9,0.9,4.1,-3.5,,8.91,,,24.6,,27.9,13,82.78
germany,03/01/2020 00:00:00,10.1,1.1,5.6,-2.2,,3.86,,,24.8,,35.4,9.8,80.01
germany,03/05/2020 00:00:00,9.9,0.2,5,-2.6,,8.43,,,25.7,,22.9,7.8,82.51
germany,03/09/2020 00:00:00,13.1,3.3,8.3,0,,16.17,,,41.6,,33.1,7.8,78.16
germany,03/13/2020 00:00:00,16.6,-1.6,6.2,-4.7,,0.09,,,41.5,,46.1,5.1,58
germany,03/17/2020 00:00:00,17.2,3.4,9.8,1.8,,0,,,24,,32.4,4.5,67.84
germany,03/21/2020 00:00:00,8.1,-3.8,2.5,-7.4,,0,,,27.3,,46.9,5.2,50.02
germany,03/25/2020 00:00:00,15.6,-2.3,6.8,-6.1,,0,,,22.9,,27.7,4.4,45.7
germany,03/29/2020 00:00:00,9.9,-4,2.2,-7.9,,0.91,,,31.7,,40.1,6.8,65.94
germany,04/02/2020 01:00:00,16.1,2.5,8,0.3,,0,,,27.3,,43.5,7.2,53.42
germany,04/06/2020 01:00:00,22,5.4,13.3,2.3,,0,,,23.3,,40.6,4.7,48.19
germany,04/10/2020 01:00:00,23.5,1.8,10.4,1.7,,2.19,,,29.3,,44.6,9.1,51.75
germany,04/14/2020 01:00:00,17.3,0.7,9.6,-3.6,,0,,,25.7,,45.6,7,53.81
germany,04/18/2020 01:00:00,16.7,4,10.3,1,,0,,,28.5,,49.4,2.8,42.49
germany,04/22/2020 01:00:00,21.4,5.8,13,3.3,,0,,,27.9,,45,4.7,50.56
germany,04/26/2020 01:00:00,23,4.1,13.8,6.1,,13.14,,,16.7,,36.4,6.6,57.71
germany,04/30/2020 01:00:00,18.3,6.3,11.8,3.9,,6.85,,,22,,40.5,13,74.71
germany,05/04/2020 01:00:00,16.2,2.8,9.5,0,,3.02,,,26.7,,41,12.7,70.17
germany,05/08/2020 01:00:00,23.5,3.2,13.8,0,,10.6,,,27.2,,38.5,4.3,63.68
germany,05/12/2020 01:00:00,14.6,0.9,8.8,-2.6,,0.21,,,23.6,,46.3,4.7,60.1
germany,05/16/2020 01:00:00,21.6,8,14.2,5.6,,0.21,,,24.4,,44.5,13,57.78
germany,05/20/2020 01:00:00,22.3,7.2,15.7,6.6,,3.03,,,26.5,,40.4,9.3,54.78
germany,05/24/2020 01:00:00,21.9,7.1,13.7,6.1,,10.72,,,29.1,,36.8,10.1,70.66
germany,05/28/2020 01:00:00,22.6,8.3,14.8,6.5,,0,,,24.4,,47.7,11.9,55.96
germany,06/01/2020 01:00:00,26.8,8.7,18.6,7.6,26.3,5.86,,,24,,47.1,8.8,51.35
germany,06/05/2020 01:00:00,21.2,9,14.9,6.9,,1.89,,,28,,42.1,12.3,64.2
germany,06/09/2020 01:00:00,27.4,11.6,18,,27.8,5.05,,,18.2,,33,13,70.7
germany,06/13/2020 01:00:00,31.5,13.1,21,,33,15.29,,,23.9,,36.8,12.1,66.22
germany,06/17/2020 01:00:00,28.4,14.9,20,,27.6,3.08,,,29.7,,34.8,10.9,68.89
germany,06/21/2020 01:00:00,25.6,12.4,19.5,,,1.29,,,25.3,,44.4,11.3,59.47
germany,06/25/2020 01:00:00,31.3,16.5,23.1,,30.3,6.55,,,20.2,,36.2,12,64.62
germany,06/29/2020 01:00:00,24.3,14.7,19.6,,,3.89,,,25.5,,45,12.3,62.35
germany,07/03/2020 01:00:00,27.2,13.5,20.2,,27.6,2.31,,,33.8,,46.6,13,61.31
germany,07/07/2020 01:00:00,24.3,11.3,16.6,,,15.65,,,31.9,,38.3,8.4,74.36
germany,07/11/2020 01:00:00,28.3,10.1,17.8,,27.1,0,,,23.8,,47.2,11.2,57.52
germany,07/15/2020 01:00:00,27,11.3,17.5,,26.9,8.3,,,21.9,,31.8,10.2,77.3
germany,07/19/2020 01:00:00,30,10.5,19.5,,29.2,2.21,,,25.1,,42.9,9.8,61.45
germany,07/23/2020 01:00:00,28.1,13.4,19.5,,27.1,12.18,,,28,,45.1,9,63.21
germany,07/27/2020 01:00:00,27.2,11.2,19.8,,27.1,0.23,,,27.2,,44.9,12.6,58.39
germany,07/31/2020 01:00:00,29.4,12.5,20.5,,28,1.86,,,17.3,,43,10.2,60.63
germany,08/04/2020 01:00:00,32.4,10.8,21.8,,32.2,0,,,15,,47.4,9.8,53.11
germany,08/08/2020 01:00:00,35.4,19.7,26.6,,34.2,2.32,,,21.4,,31.5,6.6,52.58
germany,08/12/2020 01:00:00,30.9,17.1,24.6,,29.8,0.58,,,15.6,,42.6,8.4,49.12
germany,08/16/2020 01:00:00,30.7,16.3,22.9,,29.1,8.1,,,18.7,,39,8.6,59.51
germany,08/20/2020 01:00:00,35.8,15.9,23.7,,35.2,8.43,,,29.2,,44.4,12.2,61.87
germany,08/24/2020 01:00:00,22.7,12.8,17.7,,,8.11,,,36.6,,41.9,10.9,70.11
germany,08/28/2020 01:00:00,23.3,12.1,17.6,,,16.38,,,18.1,,40,13,73.31
germany,09/01/2020 01:00:00,22.4,10.6,16.2,,,16.3,,,22.5,,38.4,12.6,77.58
germany,09/05/2020 01:00:00,22.6,10.9,15.6,,,2.03,,,25.4,,43.9,13,73.44
germany,09/09/2020 01:00:00,26.4,9,17.1,8.7,,1.01,,,22.9,,42.7,9.2,69.91
germany,09/13/2020 01:00:00,30.6,11.4,20.6,,30.3,0,,,23.9,,35.8,7,66.37
germany,09/17/2020 01:00:00,22.4,5.2,14.4,5.7,,0,,,18.7,,48,7.6,56.59
germany,09/21/2020 01:00:00,26.9,9.3,18,8.7,26.7,0.02,,,21.5,,36.9,3.8,61.89
germany,09/25/2020 01:00:00,18,7,11.7,5.8,,36.82,,,28,,36.1,13,83.58
germany,09/29/2020 01:00:00,19.8,7.8,13.5,8.2,,0,,,23.2,,29,8,81.84
germany,10/03/2020 01:00:00,21.7,8.4,13.8,6.8,,0.88,,,24.5,,39.9,8.2,76.93
germany,10/07/2020 01:00:00,15.1,6.4,12,5,,10.25,,,21.7,,35,8.9,85.6
germany,10/11/2020 01:00:00,11.9,1.5,8.5,1.4,,11.73,,,26.3,,34.5,7.8,85.5
germany,10/15/2020 01:00:00,11.6,6,9.2,3.4,,3.15,,,23.9,,26.6,8.7,89.89
germany,10/19/2020 01:00:00,19.2,4.6,11.2,1.6,,3.44,,,19.4,,28.6,2,81.28
germany,10/23/2020 01:00:00,17,9.6,12.7,8,,8.56,,,20.8,,31.2,5.6,85.32
germany,10/27/2020 00:00:00,13.6,7.7,10.4,5.8,,16.59,,,26.3,,34.4,,82.63
germany,10/31/2020 00:00:00,20.5,10.4,13.9,,,17.49,,,23.8,,28.9,13,86.42
germany,11/04/2020 00:00:00,12.4,3.2,8.3,0.7,,0,,,21,,25.3,5.8,83.93
germany,11/08/2020 00:00:00,10.7,1.3,5.6,0.7,,0,,,14.9,,9.7,1.3,90.57
germany,11/12/2020 00:00:00,14.9,5.8,9.3,4.1,,0.29,,,21.9,,27.4,11.7,83.81
germany,11/16/2020 00:00:00,12.5,4.6,10,1,,2.23,,,30.9,,37,4,80.08
germany,11/20/2020 00:00:00,10.5,-0.1,5.3,-3.4,,0.42,,,24,,33.3,7.2,80.05
germany,11/24/2020 00:00:00,7.5,-0.3,3.5,-3.6,,0.96,,,12.5,,15,4.2,92.35
germany,11/28/2020 00:00:00,5.3,-1.5,2.3,-4.2,,0.1,,,13.8,,27,7.2,82.65
germany,12/02/2020 00:00:00,7.8,-2.7,0.9,-8,,0,,,20.2,,13.7,5.9,83.37
germany,12/06/2020 00:00:00,11.2,1.1,4.9,-3.1,,0.98,,,22.1,,18.1,10.4,83.58
germany,12/10/2020 00:00:00,4.1,-1.1,0.9,-5.4,,0.05,,,17.2,,5.3,,92.68
germany,12/14/2020 00:00:00,9.6,2.7,6.2,-1.5,,1.32,,,18.3,,19.5,7.8,85.79
germany,12/18/2020 00:00:00,8.9,0.2,4.1,-2.9,,1.32,,,15.6,,21.9,8.1,86.59
germany,12/22/2020 00:00:00,13.5,1.3,6.5,-3,,15.4,,,26.7,,29.3,,87.41
germany,12/26/2020 00:00:00,4.3,-0.8,1.8,-5.3,,2.62,,,33.7,,35.7,13,78.53
germany,12/30/2020 00:00:00,5,-0.2,1.9,-3.8,,0.71,,,18.4,,23.3,34.1,85.55
estonia,01/01/2020 00:00:00,5.8,0,3.4,-5.6,,4.7,,,37.7,79.2,9.9,62.4,83.15
estonia,01/05/2020 00:00:00,7,-4.7,2.4,-8.4,,11,,,37.5,72,8.4,83,86.35
estonia,01/09/2020 00:00:00,6,-5,1.6,-7.4,,22.33,,,38.3,75.6,6.9,46.4,93.38
estonia,01/13/2020 00:00:00,8,0,4.1,-4.8,,21.1,,,36.7,61.2,9.5,82.3,90.29
estonia,01/17/2020 00:00:00,5,0,3.3,-4.6,,1.9,,,37.7,64.8,9.5,62.4,88.71
estonia,01/21/2020 00:00:00,6,-2,3.1,-6.4,,0.9,,,38.2,75.6,10.1,48.7,77.81
estonia,01/25/2020 00:00:00,6,-1.1,3,-4.7,,4.03,,,36.6,79.2,9.2,76.2,88.39
estonia,01/29/2020 00:00:00,5.8,0,1.3,-5,,8.7,,,20.4,39.6,8.8,98.2,95.19
estonia,02/02/2020 00:00:00,6,-6.7,0.6,-9.1,,8.7,,,40,75.6,9.6,57.2,79.53
estonia,02/06/2020 00:00:00,5,-7,0.3,-10.5,,2.8,,,33.4,72,8.7,65.3,83.24
estonia,02/10/2020 00:00:00,5,-0.7,2.5,-4.8,,25.76,,,41.9,72,9.5,80.6,91.07
estonia,02/14/2020 00:00:00,7.8,-2.9,2.5,-6.1,,20.32,,,43.7,70.8,8.6,80.3,89.65
estonia,02/18/2020 00:00:00,7,-0.7,3.5,-3.9,,3.3,,,40,67.5,9.9,82.9,82.97
estonia,02/22/2020 00:00:00,5,-4,2.3,-6.9,,21,,,42.8,79.2,9.9,48,77.19
estonia,02/26/2020 00:00:00,1.1,-10.8,-2.3,-14.2,,20.67,,,37.5,72,7.8,50.2,85.98
estonia,03/01/2020 00:00:00,7,-1,2.3,-5.8,,13.31,,,41.4,57.6,8.5,72.6,91.63
estonia,03/05/2020 00:00:00,6,-1.9,2.1,-5.7,,3.1,,,25.3,39.6,9.6,42.1,88.31
estonia,03/09/2020 00:00:00,8,0.8,4.1,-3.3,,8.85,,,40.2,79.2,9.6,75.4,85.35
estonia,03/13/2020 00:00:00,5.8,-4.9,1.2,-10.1,,13.09,,,37.3,79.2,9.9,47.1,69.09
estonia,03/17/2020 00:00:00,6,-4.7,3.2,-5.3,,6.4,,,38.8,64.8,9.9,46.8,78.91
estonia,03/21/2020 00:00:00,7,-5.9,-0.2,-7.4,,1.5,,,35.3,54,10.1,9.2,61.57
estonia,03/25/2020 00:00:00,12,-2.7,5.2,-6.2,,0,,,41.6,64.8,10.2,0,52.93
estonia,03/29/2020 00:00:00,6,-6.9,0.1,-9.5,,0.89,,,41.4,68.4,9.9,27.4,59.27
estonia,04/02/2020 01:00:00,8,-2.9,2.7,-5.4,,5.11,,,48.7,93.6,9.9,42.7,70
estonia,04/06/2020 01:00:00,18,0.8,7.5,-0.9,,0.3,,,44.6,61.2,10.1,16.9,61.09
estonia,04/10/2020 01:00:00,7.8,-1.7,3.8,-5.8,,5.4,,,40.5,68.4,9.9,38.1,73.15
estonia,04/14/2020 01:00:00,7.2,0,3.2,-5.1,,24.77,,,36.4,64.8,9.7,57.6,78.71
estonia,04/18/2020 01:00:00,12,3,6.7,-2.1,,0,,,38.3,64.8,10.2,12.9,61.69
estonia,04/22/2020 01:00:00,12,-0.7,6.3,-4.2,,0,,,31.6,50.4,10.2,8,58.93
estonia,04/26/2020 01:00:00,8,-1.7,3.7,-3.5,,12.2,,,27.4,57.6,10,39.9,68.38
estonia,04/30/2020 01:00:00,15.2,-1.9,7.2,-4.8,,8.2,,,25.9,46.8,9.5,34.8,68.84
estonia,05/04/2020 01:00:00,13.2,2.1,8.2,-0.8,,0,,,32,50.4,9.5,26,69.99
estonia,05/08/2020 01:00:00,18.8,-0.9,8.9,-4.5,,13,,,25.9,64.8,9.9,23.5,59.35
estonia,05/12/2020 01:00:00,9,0.1,5.2,-2.9,,9.9,,,33.8,58.4,10.2,35.9,65.55
estonia,05/16/2020 01:00:00,11,-0.9,6.1,-3,,7.81,,,46.4,75.6,10.1,45.4,74.6
estonia,05/20/2020 01:00:00,18,2.1,10,1.1,,0,,,28.7,57.6,10.2,17.2,56.05
estonia,05/24/2020 01:00:00,18.6,8.8,13,6.5,,0,,,25.8,28.8,10.2,1.1,59.27
estonia,05/28/2020 01:00:00,17.8,10,13.5,,,1.6,,,27.4,51.8,10.2,9.2,58.53
estonia,06/01/2020 01:00:00,16.1,6.3,12.5,4.8,,3.4,,,31.6,50.4,10.2,14.9,63.39
estonia,06/05/2020 01:00:00,20.8,9,15.1,6.8,,11.76,,,36,57.6,10,45.2,75.69
estonia,06/09/2020 01:00:00,21,12,16.2,,,6.61,,,33,53.6,9.7,30.4,76.61
estonia,06/13/2020 01:00:00,23,10.2,17.9,,,0,,,30.5,59.4,10.1,21.6,63.33
estonia,06/17/2020 01:00:00,24.8,11.3,19.3,,,21.12,,,29.1,50.4,10,11.9,73.05
estonia,06/21/2020 01:00:00,25,11,18.1,,,0,,,29.1,43.2,10.2,1,57.03
estonia,06/25/2020 01:00:00,29,13.1,22.3,,28.2,0,,,24.4,39.6,10.2,1.3,57.1
estonia,06/29/2020 01:00:00,25.2,13,16.5,,,89.89,,,34.4,57.6,9.4,54.4,85.66
estonia,07/03/2020 01:00:00,19.8,11.3,16.2,,,15.67,,,36.7,61.2,9.8,59.5,78.27
estonia,07/07/2020 01:00:00,18.8,8.3,14,6.4,,8.9,,,36.6,54,10.1,35.3,75.36
estonia,07/11/2020 01:00:00,20,10,14.9,,,10.49,,,36.8,68.4,10,34.2,74.37
estonia,07/15/2020 01:00:00,24,8.3,18.9,,,0,,,22.3,32.4,10.2,3.8,65.52
estonia,07/19/2020 01:00:00,25.8,13.3,18.3,,,3.9,,,45.1,72,10.2,27.2,73.21
estonia,07/23/2020 01:00:00,23,9.1,15.4,,,19.88,,,38.5,68.4,10.1,40.1,72.99
estonia,07/27/2020 01:00:00,24.8,11.1,17.4,,,43.77,,,34.3,50.4,9.9,36.4,82.04
estonia,07/31/2020 01:00:00,21,13.1,16.9,,,2,,,25.1,39.6,10.1,23.5,75.78
estonia,08/04/2020 01:00:00,23,13.1,17.2,,,4.7,,,21.8,32.4,9.4,40.6,84.7
estonia,08/08/2020 01:00:00,26,13.3,19.1,,,0,,,22.4,39.6,10.2,10.5,66.36
estonia,08/12/2020 01:00:00,24,13,16.6,,,29.11,,,22.3,43.2,9.9,40.4,79.88
estonia,08/16/2020 01:00:00,24,11.1,18.5,,,0,,,24.9,46.8,10.2,6.1,70.86
estonia,08/20/2020 01:00:00,25,11.3,18.6,,,41.9,,,25.5,50.4,10,25.5,77.21
estonia,08/24/2020 01:00:00,20,10.1,15,,,16.41,,,30.2,50.4,10.1,33.1,78.16
estonia,08/28/2020 01:00:00,18,5.3,14,9,,16.68,,,24.7,43.2,10.1,45.4,80.82
estonia,09/01/2020 01:00:00,19,8.3,14.6,5.9,,1.3,,,25.1,46.8,10.1,49.6,83.72
estonia,09/05/2020 01:00:00,18.8,7.1,13,6.2,,23.4,,,25.1,61.2,10,42.9,88.43
estonia,09/09/2020 01:00:00,17,9,13.4,8.2,,16.13,,,43.3,86.4,9.9,51.3,80.2
estonia,09/13/2020 01:00:00,22,10.3,14.1,,,6.85,,,42,72,9.2,63.1,84.79
estonia,09/17/2020 01:00:00,15,5.3,11.5,4.9,,3.2,,,37.7,79.2,10.1,48.4,72.54
estonia,09/21/2020 01:00:00,23,8.8,14.3,7,,0.4,,,31.3,57.6,9.7,32.2,85.08
estonia,09/25/2020 01:00:00,23,8.8,15.7,7.1,,0,,,23.6,46.8,10.1,5.6,79.11
estonia,09/29/2020 01:00:00,18.8,7.3,12.3,5.2,,0.1,,,21.4,39.6,9,51.5,86.31
estonia,10/03/2020 01:00:00,19,7.9,13.7,5.4,,5.5,,,31.5,43.2,10,30.1,84.23
estonia,10/07/2020 01:00:00,16,7,11.7,4.3,,2.9,,,29.4,42.5,10,36.2,86.58
estonia,10/11/2020 01:00:00,14,7,9.5,4.9,,8.5,,,25.2,61.2,10,48.2,85.06
