country,Period,maxTemp,minTemp,temp,WindChill,HeatIndex,Precipitation,Snow,SnowDepth,WindSpeed,WindGust,Visibility,CloudCover,relHumidity
venezuela,01/01/2020 00:00:00,32,23,26.9,,36.8,0,,,18.4,,10,41.1,78.24
venezuela,01/05/2020 00:00:00,32,25,27.3,,36.8,0,,,18.4,,10.1,44.8,77.38
venezuela,01/09/2020 00:00:00,32,24,27,,39.2,0,,,13,,10,41.2,81.85
venezuela,01/13/2020 00:00:00,32,20.1,25.7,,36.8,0,,,15.4,,10,26.2,78.89
venezuela,01/17/2020 00:00:00,29,20.1,24.6,,32,0,,,17.4,,10,20.1,79.03
venezuela,01/21/2020 00:00:00,31,20.1,26.6,,34.1,0,,,87.1,,10,32,76.58
venezuela,01/25/2020 00:00:00,30.4,18.1,24.5,,32.7,0,,,13,,10,11.6,70.96
venezuela,01/29/2020 00:00:00,31,19.6,25.1,,36.5,0,,,22.8,,10,23.1,73.43
venezuela,02/02/2020 00:00:00,30.9,18.1,24.5,,35.1,0,,,15.1,,10,16,67.3
venezuela,02/06/2020 00:00:00,31,19.1,24.4,,36.5,0,,,20.5,,9.9,15,71.71
venezuela,02/10/2020 00:00:00,31,20.8,24.6,,35.5,0,,,18.4,,10,8.4,69.89
venezuela,02/14/2020 00:00:00,31,20.1,25.2,,36.5,0,,,20.5,,10,18.5,71.18
venezuela,02/18/2020 00:00:00,29.5,20.1,24.4,,30.9,0,,,20.3,,10,11.2,74.25
venezuela,02/22/2020 00:00:00,31,19.9,24.6,,36.5,0,,,13,,10,11.3,70.19
venezuela,02/26/2020 00:00:00,31,16.1,24.8,,39.1,0,,,48.9,,10,13.9,68.75
venezuela,03/01/2020 00:00:00,32,20.2,25.2,,54.1,0,,,15.1,,10,14.7,70.54
venezuela,03/05/2020 00:00:00,32,18.1,24.9,,36.8,0,,,16.7,,10,18.1,69.51
venezuela,03/09/2020 00:00:00,31,20.1,24.9,,36.5,0,,,39.8,,10,19.9,69.21
venezuela,03/13/2020 00:00:00,30.8,18.9,24.9,,30.8,0,,,18.2,,10,20.2,67.43
venezuela,03/17/2020 00:00:00,30,18.1,24.3,,30.9,0,,,20,,10,14,67.6
venezuela,03/21/2020 00:00:00,29.9,20.7,24.5,,32,0,,,19.7,,10,22.9,71.05
venezuela,03/25/2020 00:00:00,31,21.8,26.3,,36.2,0,,,13.8,,10,32.3,74.53
venezuela,03/29/2020 00:00:00,30,18.1,24.5,,35.1,0,,,16.6,,10,22.8,70.27
venezuela,04/02/2020 00:00:00,33.1,22,26.5,,35.5,0,,,14.8,,10,31.3,71.79
venezuela,04/06/2020 00:00:00,33.1,21.1,26.7,,34.3,0,,,16.6,,10,21.3,66.81
venezuela,04/10/2020 00:00:00,33.1,21.8,26.4,,36.5,0,,,16.6,,10,16,65.29
venezuela,04/14/2020 00:00:00,32,18.1,25.3,,36.8,0,,,12.1,,10,16.6,68.33
venezuela,04/18/2020 00:00:00,31,21.1,25.6,,34.5,0,,,16.6,,10,22.8,70.22
venezuela,04/22/2020 00:00:00,31.1,21.1,25.7,,36.5,0,,,18.4,,10,15.1,67.23
venezuela,04/26/2020 00:00:00,31,20.1,25.4,,36.5,0,,,27.7,,10,18.8,71.46
venezuela,04/30/2020 00:00:00,31.1,21.9,26.1,,36.2,0,,,13.8,,10,19.8,69.67
venezuela,05/04/2020 00:00:00,32.1,22,26.2,,37.7,0,,,27.7,,10,23.3,73.23
venezuela,05/08/2020 00:00:00,32.1,22.4,26.6,,35.5,0,,,20.5,,10,13.6,65.42
venezuela,05/12/2020 00:00:00,31.6,22,26.2,,35.5,0,,,14.9,,10,19.9,69.09
venezuela,05/16/2020 00:00:00,32.6,21.8,26.5,,36.8,0,,,18.4,,10,19.5,65.57
venezuela,05/20/2020 00:00:00,32.1,21.9,26.5,,35.1,0,,,45,,10,20.6,66.49
